ID,PROGRAMA,SEXO,PUNTAJE SABER 11,ESTRATO,FECHA DE NACIMIENTO,ESTADO A 2022-2,Status.20171,Status.20172,Status.20181,Status.20182,Status.20191,Status.20192,Status.20201,Status.20202,Status.20211,Status.20212,Status.20221,Status.20222,CANTIDAD DE SEMESTRES ACTIVOS EN LA U,Creditos.20171,Creditos.20172,Creditos.20181,Creditos.20182,Creditos.20191,Creditos.20192,Creditos.20201,Creditos.20202,Creditos.20211,Creditos.20212,Creditos.20221,Creditos.20222,Promedio.20171,Promedio.20172,Promedio.20181,Promedio.20182,Promedio.20191,Promedio.20192,Promedio.20201,Promedio.20202,Promedio.20211,Promedio.20212,Promedio.20221,Promedio.20222
-,INGENIERIA CIVIL,M,258,1,5/21/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,15,15,13,19,19,21,17,0,3,12,0,3.5,3.55,3.12,3.71,3.72,3.7,3.91,3.91,3.91,4.05,4.05,-
-,INGENIERIA AMBIENTAL,M,362,3,9/22/1999,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,16,14,13,16,16,16,19,20,19,20,20,4,2.82,3.5,3.15,3.02,3.02,3.04,3.19,3.34,3.19,3.68,3.68,
-,INGENIERIA CIVIL,M,287,3,2/15/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,13,14,6,0,0,0,0,0,0,0,0,0,1.57,2.41,,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,289,6,2/10/1999,AUSENTE,1,1,1,1,1,1,1,1,0,1,1,0,10,5,5,5,13,17,18,0,19,0,16,21,0,3.88,3.25,3.14,4.05,3.48,3.26,,3.24,-,3.84,3.84,-
-,INGENIERIA INDUSTRIAL,M,305,3,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,18,15,12,12,0,0,4.49,4.47,4.43,4.21,4.27,4.15,4.34,4.36,4.34,0,-,-
-,INGENIERIA ELECTRICA,M,472,4,5/17/1995,GRADUADO,1,1,1,1,1,1,0,0,0,0,0,0,6,16,19,19,20,19,19,0,0,0,0,0,0,3.6,3.85,3.89,3.85,3.69,4.11,-,-,-,-,-,-
-,INGENIERIA DE SISTEMAS,M,321,4,9/20/2000,ACTIVO,1,1,1,1,1,1,1,0,0,1,1,1,10,15,16,17,12,16,16,0,0,0,3,15,16,3.53,2.62,3.34,3.06,3.53,2.1,,-,-,1.7,1.7,
-,INGENIERIA AMBIENTAL,F,324,2,10/22/1999,DESERTOR,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,16,16,13,15,17,17,16,12,0,0,4.09,4.01,3.6,3.53,3.68,4.02,4.28,4.34,4.18,0,-,-
-,INGENIERIA INDUSTRIAL,F,270,1,10/26/2000,ACTIVO,1,1,1,1,1,0,1,1,1,1,1,1,11,15,15,17,19,0,17,15,17,21,12,0,6,3.31,3.4,3.4,3.28,-,,3.63,3.57,3.63,3.2,3.2,
-,INGENIERIA DE SISTEMAS,M,430,2,11/16/1995,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,4.13,3.53,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,284,2,9/20/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,5,0,17,16,17,12,15,12,12,0,0,3.47,3.34,3.39,3.53,3.86,3.81,4.35,4.52,4.04,0,-,-
-,INGENIERIA DE SISTEMAS,M,282,2,4/26/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,15,16,16,17,17,19,15,19,13,10,7,9,3.55,3.55,3.52,3.28,3.16,3.4,3.8,3.23,3.65,3.09,,
-,INGENIERIA DE SISTEMAS,M,370,2,8/2/1995,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,15,16,0,0,0,0,0,0,0,0,0,0,3.82,3.55,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,258,2,11/17/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,4,15,0,17,16,16,15,16,15,12,0,0,3.62,3.11,3.16,3.27,3.56,3.45,3.98,3.92,3.54,3.9,-,-
-,INGENIERIA INDUSTRIAL,F,286,2,5/15/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,5,5,17,19,19,12,15,12,12,0,0,3.69,3.58,3.58,3.85,4.13,4.05,4.6,4.56,4.4,0,-,-
-,INGENIERIA DE SISTEMAS,M,354,3,11/3/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,16,16,16,10,10,18,18,0,12,0,0,3.75,3.87,3.71,3.46,4.28,3.76,4.38,4.57,4.43,0,-,-
-,INGENIERIA CIVIL,M,285,4,9/12/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,16,20,17,17,21,19,0,12,0,0,3.78,3.21,3.46,3.81,3.55,3.88,4.03,4.19,4.25,0,-,-
-,INGENIERIA CIVIL,M,294,2,10/17/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,16,16,20,20,0,12,0,0,3.9,3.73,3.95,3.73,3.95,3.74,4.27,4.56,4.2,0,-,-
-,INGENIERIA ELECTRICA,M,,2,2/4/1995,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,17,13,0,0,0,0,0,0,0,0,0,0,3.88,3.58,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRONICA,M,337,3,8/4/2000,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,15,20,18,11,16,16,19,18,19,11,12,0,3.63,3.31,3.36,3.49,3.41,3.88,3.87,3.69,3.87,3.51,3.51,-
-,INGENIERIA AMBIENTAL,F,,2,9/24/1996,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,16,15,16,0,0,0,0,0,0,0,0,0,3.9,3.35,3.41,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,278,2,5/17/2000,DESERTOR,1,1,0,0,0,0,1,0,0,0,0,0,3,13,15,0,0,0,,13,,,,,,3.2,3.26,-,-,-,,1.53,,,,,
-,INGENIERIA AMBIENTAL,F,276,1,6/11/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,18,13,19,21,20,18,18,15,0,0,3.42,3.2,3.47,3.18,3.39,3.58,3.99,4.08,3.99,0.74,-,-
-,INGENIERIA AMBIENTAL,M,286,3,9/27/1998,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,1.72,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,297,2,8/20/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,18,5,16,16,16,18,11,0,8,12,0,4.05,3.94,3.53,3.38,4.09,3.7,3.98,3.43,3.98,3.48,3.48,-
-,INGENIERIA CIVIL,M,313,2,6/5/2000,DESERTOR,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,16,16,17,17,16,20,15,12,0,0,3.72,3.37,3.11,3.28,3.64,3.7,3.85,3.87,4.3,0,-,-
-,INGENIERIA AMBIENTAL,F,292,3,8/5/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,18,16,18,18,14,15,14,12,0,0,4.02,4.12,3.58,3.41,3.8,3.88,4.54,4.48,4.54,0,-,-
-,INGENIERIA ELECTRICA,M,331,3,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,14,12,15,18,18,18,18,,18,12,0,0,4.09,3.81,3.72,3.88,3.95,3.89,4.3,3.91,3.79,0,-,-
-,INGENIERIA CIVIL,M,297,3,4/4/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,17,18,16,16,16,15,15,15,12,0,0,4.15,3.75,4.2,4.15,4.23,4.55,4.42,4.43,4.42,0,-,-
-,INGENIERIA INDUSTRIAL,M,294,2,3/15/1997,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,309,4,2/20/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,18,18,16,18,21,12,19,12,3,12,0,3.86,4.06,3.61,3.72,3.65,3.5,3.93,4.07,3.93,3.9,3.9,-
-,INGENIERIA ELECTRICA,M,263,3,12/3/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,14,12,15,18,17,18,15,18,0,12,0,0,3.75,3.47,3.28,3.53,3.88,3.46,4.1,3.95,4.02,0,-,-
-,INGENIERIA ELECTRONICA,M,238,1,5/10/1999,ACTIVO,1,1,1,1,1,1,1,1,0,0,1,1,10,15,17,17,15,15,15,0,17,0,0,20,15,3.9,3.52,3.05,3.32,3.63,3.33,,2.42,-,-,,
-,INGENIERIA INDUSTRIAL,M,341,3,11/3/1999,DESERTOR,1,1,1,1,1,0,0,0,0,0,0,0,5,15,17,18,18,10,0,0,0,0,0,0,0,2.93,3.36,0.68,0.99,0,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,243,4,2/20/1983,GRADUADO,1,1,1,1,1,1,1,0,1,0,0,0,8,17,19,18,13,8,8,8,0,10,0,0,0,4,3.66,3.67,4.03,3.64,3.78,3.83,-,3.95,-,-,-
-,INGENIERIA AMBIENTAL,M,288,1,10/8/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,16,18,18,13,15,15,13,14,16,12,12,0,3.64,3.61,3.37,4.07,3.82,3.89,3.95,4.37,4.26,,,-
-,INGENIERIA CIVIL,F,294,1,1/12/2001,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,19,21,15,15,15,12,0,0,3.71,3.55,3.63,3.64,3.81,3.79,3.92,4.29,4.31,4.1,-,-
-,INGENIERIA INDUSTRIAL,M,229,1,11/19/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,18,18,18,20,20,18,17,12,12,0,0,3.75,3.73,3.63,3.34,3.49,4.04,3.88,4.24,3.88,0,-,-
-,INGENIERIA INDUSTRIAL,F,232,1,11/14/1999,ACTIVO,1,0,1,1,0,0,1,1,1,1,1,1,9,15,0,16,6,0,,15,14,15,19,20,20,3.46,-,3.23,3.63,-,,3.92,4,3.65,4.01,4.01,
-,INGENIERIA INDUSTRIAL,F,302,2,11/29/1999,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,15,17,0,0,0,0,0,0,0,0,0,0,3.61,3.26,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRICA,M,348,1,1/4/1990,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,14,15,9,6,15,15,17,17,17,15,0,0,4.37,3.6,3.48,4,3.78,3.23,3.7,4.06,3.9,3.8,-,-
-,INGENIERIA AMBIENTAL,F,400,2,3/20/1998,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,16,18,18,16,18,18,16,15,15,12,0,0,4.18,4.3,4,4.27,3.8,3.95,3.99,4.21,3.99,0,-,-
-,INGENIERIA CIVIL,M,230,4,8/10/1998,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1.3,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,323,3,2/21/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.84,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,308,2,,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,21,17,16,18,20,20,21,15,12,0,0,0,3.89,3.8,3.59,3.8,3.57,4.01,4.07,3.96,4.07,-,-,-
-,INGENIERIA DE SISTEMAS,M,235,2,12/16/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,15,16,17,14,17,17,16,18,16,18,18,0,3.7,2.82,3.32,3.46,3.24,3.08,4.03,3.48,4.03,3.8,3.8,-
-,INGENIERIA ELECTRICA,M,300,1,1/19/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,14,5,15,18,7,7,13,15,9,14,14,18,3.32,2.71,3.12,3.23,3.7,2.91,3.65,3.98,3.65,3.92,3.92,
-,INGENIERIA CIVIL,F,369,4,3/5/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,15,18,12,18,12,12,0,0,4.67,4.37,4.48,4.44,4.54,4.47,4.58,4.54,4.56,4.5,-,-
-,INGENIERIA AMBIENTAL,F,325,1,10/15/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,16,18,16,0,0,0,0,0,0,0,0,0,2.91,2.62,3.36,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRICA,M,400,1,4/8/1995,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,14,12,1,12,18,20,15,12,0,0,0,0,4.19,3.8,4.41,3.95,4.14,3.81,4.12,4.28,4.06,-,-,-
-,INGENIERIA CIVIL,M,251,1,5/15/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,13,18,15,0,0,0,0,0,0,0,0,0,3.1,2.38,1.56,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRONICA,M,308,3,3/8/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,17,18,16,16,17,18,13,12,0,0,4.12,4.03,3.85,3.84,4.12,3.92,4.2,4.31,4.18,0,-,-
-,INGENIERIA DE SISTEMAS,M,284,1,6/8/2000,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,5,16,13,0,0,0,0,0,0,0,0,0,3.8,3.4,,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRICA,M,425,2,8/16/1993,ACTIVO,1,1,1,1,1,1,1,0,1,1,1,1,11,14,14,14,13,12,12,6,0,0,6,6,11,4.28,3.64,3.38,3.41,3.53,3.08,3.95,-,3.95,3.95,3.95,
-,INGENIERIA INDUSTRIAL,M,394,2,7/10/1986,DESERTOR,1,1,1,1,1,1,1,1,0,1,0,0,9,9,17,10,11,6,8,9,,0,7,0,0,3.5,3.39,3.13,3.4,2.07,3.36,2.5,,-,2.53,-,-
-,INGENIERIA CIVIL,F,317,2,,DESERTOR,1,1,1,1,1,1,0,1,1,1,0,0,9,13,15,18,18,21,21,0,18,16,10,0,0,3.45,3.39,3.33,3.22,2.71,2.65,-,3.42,3.24,2.82,-,-
-,INGENIERIA CIVIL,M,304,1,6/2/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,18,18,9,17,18,18,17,18,12,0,0,4.17,3.73,3.49,4.03,3.71,3.9,4.2,4.12,4.2,0,-,-
-,INGENIERIA AMBIENTAL,M,295,,,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,16,16,21,16,18,18,16,20,19,9,12,0,3.74,3.81,3.55,3.48,3.43,3.24,3.91,3.89,3.32,3.87,3.87,-
-,INGENIERIA CIVIL,M,310,2,9/5/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,17,20,19,18,18,12,0,0,3.97,3.31,3.26,3.36,3.6,3.76,3.67,4.18,3.67,0,-,-
-,INGENIERIA CIVIL,F,290,2,8/4/2001,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,3.85,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,319,2,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,5,18,17,19,19,18,15,12,12,0,0,4.15,4.31,4.28,4.25,4.44,4.15,4.34,4.36,4.34,0,-,-
-,INGENIERIA CIVIL,M,288,2,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,19,19,16,21,9,12,0,0,3.88,3.41,3.18,3.42,3.24,3.37,3.63,3.95,3.63,4.5,-,-
-,INGENIERIA INDUSTRIAL,F,265,3,8/28/1999,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,15,17,18,0,0,0,0,0,0,0,0,0,3.37,3.25,3.26,-,-,-,-,-,-,-,-,-
-,INGENIERIA ELECTRONICA,M,471,0,12/30/1986,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,3.84,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA DE SISTEMAS,F,360,1,11/28/1992,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,15,16,16,16,17,17,4,12,0,14,16,13,3.93,2.95,3.67,3.94,3.27,3.37,4,2.13,4,4.03,4.03,
-,INGENIERIA INDUSTRIAL,M,300,2,11/11/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,14,18,17,17,17,15,19,0,12,0,0,3.53,3.4,3.37,3.72,3.64,3.73,4.26,4.19,4.02,0,-,-
-,INGENIERIA AMBIENTAL,M,337,2,2/2/2000,DESERTOR,1,1,1,1,1,1,1,1,1,1,0,0,10,5,5,18,16,18,18,19,14,19,12,0,0,3.58,3.24,3.69,3.63,3.9,3.66,4.45,4.19,4.45,0,-,-
-,INGENIERIA INDUSTRIAL,F,425,3,10/27/1988,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2.82,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA AMBIENTAL,F,386,3,6/13/1998,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,16,16,16,13,16,18,16,17,15,9,19,12,3.53,3.63,3.19,3.28,3.68,3.88,4.11,4.19,4.46,3.6,3.6,
-,INGENIERIA INDUSTRIAL,M,286,3,10/20/2000,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,15,17,18,17,19,19,18,21,12,0,0,0,3.33,3.41,3.42,3.57,3.24,3.46,3.58,4.16,3.58,-,-,-
-,INGENIERIA CIVIL,M,296,1,11/5/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,17,17,12,18,12,12,0,0,3.72,3.56,3.67,3.74,4.15,4.43,4.13,4.46,4.39,0,-,-
-,INGENIERIA ELECTRICA,F,258,1,7/26/1999,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,14,5,15,15,15,15,13,16,0,13,15,13,3.23,2.62,2.93,3.31,3.66,3.38,3.87,3.96,3.87,3.47,3.47,
-,INGENIERIA AGROINDUSTRIAL,M,276,2,1/29/2000,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1.18,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,328,1,6/27/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,15,18,13,18,18,0,14,12,16,18,12,3.75,3.24,2.75,3.42,2.92,2.65,,3.55,3.8,3.54,3.54,
-,INGENIERIA CIVIL,M,321,3,6/9/1998,ACTIVO,1,1,0,1,1,1,1,1,1,1,1,1,11,13,15,0,17,14,16,15,12,10,12,16,15,3.99,3.31,-,3.63,3.29,3.36,3.64,3.87,3.31,3.53,3.53,
-,INGENIERIA INDUSTRIAL,F,316,3,1/1/2001,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,17,5,18,17,21,20,19,21,21,0,0,3.61,3.57,3.21,3.23,3.21,3.69,3.73,3.94,4.11,1.76,-,-
-,INGENIERIA INDUSTRIAL,M,304,1,2/9/2000,ACTIVO,1,1,0,1,1,1,1,1,1,1,1,1,11,15,17,0,10,15,17,5,13,11,9,12,20,3.71,3.24,-,3.84,3.13,4,3.58,3.41,3.93,3.6,3.6,
-,INGENIERIA ELECTRONICA,M,284,3,6/21/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,15,17,17,18,17,18,13,19,19,13,0,0,3.42,3.32,3.75,3.43,3.28,3.63,4.29,4.42,4.29,4.13,4.13,-
-,INGENIERIA CIVIL,M,310,2,,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,16,17,15,15,18,17,15,12,0,0,4.14,4.21,3.88,3.85,4.33,4.47,4.43,4.26,4.43,4.5,-,-
-,INGENIERIA INDUSTRIAL,F,274,3,11/3/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,18,15,12,12,0,0,4.06,3.62,4.03,3.78,4.01,3.64,4.02,4.44,4.55,0,-,-
-,INGENIERIA CIVIL,M,266,3,4/5/1998,DESERTOR,1,0,1,0,0,0,0,0,0,0,0,0,2,13,0,15,0,0,0,0,0,0,0,0,0,2.94,-,2.75,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,279,3,8/19/1999,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,4,15,18,21,16,18,18,18,0,12,0,0,3.83,3.13,3.08,3.61,3.48,3.63,4,4.04,3.69,0,-,-
-,INGENIERIA CIVIL,M,259,3,3/14/2001,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,16,15,15,11,18,11,12,0,0,3.47,3.6,2.98,3.43,3.53,3.52,4.04,4.04,4.01,0,-,-
-,INGENIERIA AMBIENTAL,F,258,2,3/14/1999,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,16,10,11,18,19,21,12,21,10,16,8,12,3.54,3.02,3.78,3.22,3.37,3.95,4.25,4.04,4.25,3.91,3.91,
-,INGENIERIA CIVIL,M,284,3,9/5/2000,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,4.22,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,280,2,12/11/1998,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,15,17,18,17,19,19,17,17,0,15,15,12,3.67,3.32,3.01,3.43,3.53,3.67,4.02,3.39,4.02,4.18,4.18,
-,INGENIERIA DE SISTEMAS,M,503,2,,AUSENTE,1,1,1,0,0,0,0,0,0,1,1,0,5,15,16,17,0,0,,,,,14,16,,4.23,3.08,3.31,-,-,,,,,3.77,3.77,
-,INGENIERIA ELECTRICA,M,473,2,7/6/1990,GRADUADO,1,0,1,1,1,1,0,1,0,0,0,0,6,20,0,20,21,20,20,,3,,,,,3.95,-,3.81,3.56,3.64,0,,3.9,,,,
-,INGENIERIA ELECTRICA,M,484,1,11/7/1989,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,14,10,10,9,10,11,9,6,0,7,10,7,3.81,3.28,2.48,4.11,3.23,3.3,3.89,3.8,3.89,3.98,3.98,
-,INGENIERIA ELECTRONICA,M,411,1,9/7/1994,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,15,2,18,17,16,16,17,19,17,14,13,12,3.69,4.2,3.45,4.02,3.69,3.56,4.1,4.05,4.1,4.35,4.35,
-,INGENIERIA CIVIL,F,300,2,2/9/1997,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,1,12,14,16,16,16,18,18,14,15,0,18,15,12,3.36,3.09,3.19,2.73,3.32,2.93,3.41,3.78,3.52,3.72,3.72,0
-,INGENIERIA CIVIL,M,427,3,7/28/1998,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.85,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,442,1,5/20/1997,GRADUADO,1,1,1,1,1,1,1,1,0,0,0,0,8,15,18,15,17,19,19,0,12,0,0,0,0,3.99,4,3.69,3.89,4.01,3.69,,4.7,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,277,4,12/11/1999,DESERTOR,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,6,17,16,17,15,13,15,15,0,0,4.06,3.6,3.4,3.29,3.44,3.24,3.4,3.58,3.4,0.6,-,-
-,INGENIERIA CIVIL,M,334,3,5/12/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,5,18,18,16,18,18,19,18,15,12,0,0,4.11,3.65,3.66,3.87,4.44,4.03,4.23,4.39,4.36,4.3,-,-
-,INGENIERIA CIVIL,F,286,1,,GRADUADO,1,1,0,1,1,1,1,1,1,1,1,0,10,13,15,0,18,18,19,16,19,0,17,12,,3.79,4.05,-,3.79,3.91,3.66,3.84,3.88,3.84,3.92,3.92,
-,INGENIERIA CIVIL,M,457,3,,GRADUADO,1,1,1,1,1,1,1,1,0,0,0,0,8,19,21,21,20,21,21,20,12,0,0,0,0,4.04,4,3.53,3.71,3.99,3.76,4.16,5,-,-,-,-
-,INGENIERIA CIVIL,M,280,2,10/28/1998,AUSENTE,1,1,1,1,1,1,1,0,1,1,1,0,10,13,5,18,13,13,13,17,0,4,18,18,0,3.61,3.56,3.42,3.24,3.24,3.21,3.53,-,3.49,3.61,3.61,-
-,INGENIERIA CIVIL,F,231,1,2/22/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,18,18,16,16,16,18,20,15,21,13,15,3.76,3.22,2.88,2.65,3.12,2.87,3.25,3.51,3.42,3.64,3.64,
-,INGENIERIA DE SISTEMAS,M,317,0,5/22/1999,DESERTOR,1,1,0,0,0,0,0,0,0,0,0,0,2,15,16,0,0,0,0,0,0,0,0,0,0,3.9,3.13,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,410,2,6/29/1993,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,19,20,18,20,8,8,3,4,13,19,0,0,3.48,2.18,3.58,3.61,3.48,1.7,3.7,3.8,4.22,4.2,-,-
-,INGENIERIA CIVIL,M,232,1,,GRADUADO,1,1,1,1,1,1,1,1,1,0,0,0,9,13,15,18,16,19,19,12,21,0,0,0,0,3.64,3.58,3.7,3.85,3.92,3.92,4.2,4.39,4.02,-,-,-
-,INGENIERIA DE SISTEMAS,M,295,3,12/8/1998,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,3.49,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA AMBIENTAL,M,,,1/0/1900,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,3.64,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,329,3,11/7/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,3.91,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,283,2,,ACTIVO,1,1,1,1,1,1,1,0,1,0,1,1,10,13,14,16,15,13,15,13,0,0,0,14,13,3.32,2.92,3.36,3.22,3.37,3.17,3.99,-,3.31,-,,
-,INGENIERIA DE SISTEMAS,M,305,2,1/29/1998,AUSENTE,1,1,1,1,1,1,1,1,1,1,1,0,11,15,16,16,16,16,16,13,10,20,12,7,0,3.52,2.48,3.38,3.27,3.3,3.52,3.92,3.7,3.92,3.94,3.94,-
-,INGENIERIA CIVIL,M,328,3,11/28/1999,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,14,18,17,14,18,13,13,0,15,10,14,4.05,3.26,3.19,3.71,3.64,3.56,3.49,3.96,3.49,3.68,3.68,
-,INGENIERIA CIVIL,F,272,2,11/24/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,13,18,18,16,17,17,19,12,12,9,12,0,4.3,3.78,3.71,3.58,4.16,3.81,4.12,4.14,4.12,3.67,3.67,-
